STATION,RIDERS_PER_WEEKDAY
Addison Road,3330.172727272728
Anacostia,7126.998484848486
Archives-Navy Memorial,8937.07727272727
Arlington Cemetery,1295.2939393939394
Ballston,11515.807575757575
Benning Road,3042.980303030304
Bethesda,10332.924242424244
Braddock Road,4431.3090909090915
Branch Avenue,6283.40909090909
Brookland,6728.457575757574
Capitol Heights,2018.1015151515148
Capitol South,8041.365151515151
Cheverly,1430.4106060606064
Clarendon,4574.533333333333
Cleveland Park,4413.39090909091
College Park-U of MD,4531.748484848486
Columbia Heights,12177.016666666666
Congress Heights,2714.277272727273
Court House,7398.727272727274
Crystal City,12683.169696969699
Deanwood,1642.5833333333328
Dunn Loring,4830.633333333332
Dupont Circle,20246.119696969694
East Falls Church,4055.9560606060604
Eastern Market,5933.756060606059
Eisenhower Avenue,1852.7227272727273
Farragut North,24265.968181818185
Farragut West,21778.980303030305
Federal Center SW,5651.609090909089
Federal Triangle,8932.03181818182
Foggy Bottom,21255.2393939394
Forest Glen,2329.180303030303
Fort Totten,7381.598484848485
Franconia-Springfield,8306.418181818182
Friendship Heights,9255.365151515149
Gallery Place-Chinatown,25895.813636363644
Georgia Avenue-Petworth,5962.6833333333325
Glenmont,5889.021212121214
Greenbelt,6486.257575757576
Greensboro,808.4666666666667
Grosvenor,5580.26515151515
Huntington,8250.006060606062
Judiciary Square,9012.972727272727
King St-Old Town,8563.609090909093
L'Enfant Plaza,20265.175757575755
Landover,2100.4439393939397
Largo Town Center,4834.959090909091
McLean,1142.273076923077
McPherson Square,15756.04696969697
Medical Center,5841.4530303030315
Metro Center,27283.763636363637
Minnesota Avenue,2888.4787878787874
Morgan Blvd.,1950.4833333333336
Mt. Vernon Square-UDC,4238.868181818181
Navy Yard-Ballpark,8128.203030303029
Naylor Road,2909.8272727272742
New Carrollton,8890.13181818182
NoMa-Gallaudet U,8087.780303030305
Pentagon,15787.593939393932
Pentagon City,15074.51515151515
Potomac Avenue,3746.5090909090914
Prince George's Plaza,4986.554545454545
Reagan Washington National Airport,6111.6606060606055
Rhode Island Avenue,5473.766666666666
Rockville,4627.190909090908
Rosslyn,15460.854545454538
Shady Grove,12889.995454545455
Shaw-Howard University,4901.666666666667
Silver Spring,12710.677272727275
Smithsonian,10887.47575757576
Southern Avenue,5305.5318181818175
Spring Hill,1076.072727272727
Stadium-Armory,2848.821212121212
Suitland,5762.116666666666
Takoma,5693.59696969697
Tenleytown-AU,6969.2590909090895
Twinbrook,4377.124242424244
Tysons Corner,2306.84
U Street-Cardozo,7055.924242424243
Union Station,31481.807575757575
Van Dorn Street,3367.7075757575753
Van Ness-UDC,6672.422727272727
Vienna,12425.196969696963
Virginia Square-GMU,3830.6030303030307
Waterfront,4066.31212121212
West Falls Church,8222.489393939395
West Hyattsville,3724.919696969697
Wheaton,4126.212121212121
White Flint,3883.524242424241
Wiehle,6069.376000000001
Woodley Park-Zoo,7139.489393939395
